"","Topic","regione","n","region"
"931","Digital Humanities","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"932","Digital Marketing","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"933","Digital Transformation","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"934","Diritto Della Proprietà Intellettuale","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"935","Economia Circolare","Trentino-Alto Adige",3,"TRENTINO-ALTO ADIGE"
"936","Ethics","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"937","Fake News","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"938","Flipped Classroom","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"939","Genealogia","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"940","Giustizia Riparativa","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"941","Giustizia Sociale","Trentino-Alto Adige",1,"TRENTINO-ALTO ADIGE"
"942","Green","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"943","Green Economy","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"944","Industrial Engineering","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"945","Internet Delle Cose","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"946","Internet Of Things","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"947","Machine Learning","Trentino-Alto Adige",3,"TRENTINO-ALTO ADIGE"
"948","Malattie Rare","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"949","Marketing Digitale","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"950","Mobilità Elettrica","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"951","Motori Elettrici","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"952","Nutraceutica","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"953","Obiettivi Di Sviluppo Sostenibile","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"954","Posture","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"955","Priority","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"956","Python","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"957","Rilevamento Topografico","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"958","Scalabilità","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"959","Scienze Delle Produzioni","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"960","Scienze Gastronomiche","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"961","Service Design","Trentino-Alto Adige",1,"TRENTINO-ALTO ADIGE"
"962","Servizi E Applicazioni","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"963","Soft Skills","Trentino-Alto Adige",2,"TRENTINO-ALTO ADIGE"
"964","Sustainability","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"965","Sustainable Development Goals","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"966","Tecnologie Ingegneristiche","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"967","Text Mining","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"968","Things","Trentino-Alto Adige",0,"TRENTINO-ALTO ADIGE"
"969","Trasformazione Digitale","Trentino-Alto Adige",2,"TRENTINO-ALTO ADIGE"
"970","Agricoltura Di Precisione","Umbria",0,"UMBRIA"
"971","Analisi Delle Serie Storiche","Umbria",0,"UMBRIA"
"972","Analytics","Umbria",0,"UMBRIA"
"973","Artificial Intelligence","Umbria",0,"UMBRIA"
"974","Big Data","Umbria",1,"UMBRIA"
"975","Bioeconomia","Umbria",1,"UMBRIA"
"976","Blockchain","Umbria",0,"UMBRIA"
"977","Building Information Modeling","Umbria",0,"UMBRIA"
"978","Business Analytics","Umbria",1,"UMBRIA"
"979","Clinical Practice","Umbria",0,"UMBRIA"
"980","Cloud","Umbria",0,"UMBRIA"
"981","Cloud Computing","Umbria",0,"UMBRIA"
"982","Competenze Digitali","Umbria",1,"UMBRIA"
"983","Cybersecurity","Umbria",0,"UMBRIA"
"984","Data Analytics","Umbria",0,"UMBRIA"
"985","Data Management","Umbria",0,"UMBRIA"
"986","Data Science","Umbria",1,"UMBRIA"
"987","Deep Learning","Umbria",0,"UMBRIA"
"988","Digital Humanities","Umbria",1,"UMBRIA"
"989","Digital Marketing","Umbria",0,"UMBRIA"
"990","Digital Transformation","Umbria",0,"UMBRIA"
"991","Diritto Della Proprietà Intellettuale","Umbria",0,"UMBRIA"
"992","Economia Circolare","Umbria",2,"UMBRIA"
"993","Ethics","Umbria",0,"UMBRIA"
"994","Fake News","Umbria",0,"UMBRIA"
"995","Flipped Classroom","Umbria",0,"UMBRIA"
"996","Genealogia","Umbria",0,"UMBRIA"
"997","Giustizia Riparativa","Umbria",0,"UMBRIA"
"998","Giustizia Sociale","Umbria",0,"UMBRIA"
"999","Green","Umbria",2,"UMBRIA"
"1000","Green Economy","Umbria",0,"UMBRIA"
"1001","Industrial Engineering","Umbria",0,"UMBRIA"
"1002","Internet Delle Cose","Umbria",0,"UMBRIA"
"1003","Internet Of Things","Umbria",0,"UMBRIA"
"1004","Machine Learning","Umbria",1,"UMBRIA"
"1005","Malattie Rare","Umbria",0,"UMBRIA"
"1006","Marketing Digitale","Umbria",0,"UMBRIA"
"1007","Mobilità Elettrica","Umbria",0,"UMBRIA"
"1008","Motori Elettrici","Umbria",0,"UMBRIA"
"1009","Nutraceutica","Umbria",0,"UMBRIA"
"1010","Obiettivi Di Sviluppo Sostenibile","Umbria",0,"UMBRIA"
"1011","Posture","Umbria",0,"UMBRIA"
"1012","Priority","Umbria",0,"UMBRIA"
"1013","Python","Umbria",0,"UMBRIA"
"1014","Rilevamento Topografico","Umbria",1,"UMBRIA"
"1015","Scalabilità","Umbria",0,"UMBRIA"
"1016","Scienze Delle Produzioni","Umbria",1,"UMBRIA"
"1017","Scienze Gastronomiche","Umbria",1,"UMBRIA"
"1018","Service Design","Umbria",0,"UMBRIA"
"1019","Servizi E Applicazioni","Umbria",0,"UMBRIA"
"1020","Soft Skills","Umbria",1,"UMBRIA"
"1021","Sustainability","Umbria",0,"UMBRIA"
"1022","Sustainable Development Goals","Umbria",0,"UMBRIA"
"1023","Tecnologie Ingegneristiche","Umbria",0,"UMBRIA"
"1024","Text Mining","Umbria",0,"UMBRIA"
"1025","Things","Umbria",1,"UMBRIA"
"1026","Trasformazione Digitale","Umbria",0,"UMBRIA"
"1027","Agricoltura Di Precisione","Valle D'Aosta",0,"VALLE D'AOSTA"
"1028","Analisi Delle Serie Storiche","Valle D'Aosta",0,"VALLE D'AOSTA"
"1029","Analytics","Valle D'Aosta",0,"VALLE D'AOSTA"
"1030","Artificial Intelligence","Valle D'Aosta",0,"VALLE D'AOSTA"
"1031","Big Data","Valle D'Aosta",0,"VALLE D'AOSTA"
"1032","Bioeconomia","Valle D'Aosta",0,"VALLE D'AOSTA"
"1033","Blockchain","Valle D'Aosta",0,"VALLE D'AOSTA"
"1034","Building Information Modeling","Valle D'Aosta",0,"VALLE D'AOSTA"
"1035","Business Analytics","Valle D'Aosta",0,"VALLE D'AOSTA"
"1036","Clinical Practice","Valle D'Aosta",0,"VALLE D'AOSTA"
"1037","Cloud","Valle D'Aosta",0,"VALLE D'AOSTA"
"1038","Cloud Computing","Valle D'Aosta",0,"VALLE D'AOSTA"
"1039","Competenze Digitali","Valle D'Aosta",0,"VALLE D'AOSTA"
"1040","Cybersecurity","Valle D'Aosta",0,"VALLE D'AOSTA"
"1041","Data Analytics","Valle D'Aosta",0,"VALLE D'AOSTA"
"1042","Data Management","Valle D'Aosta",0,"VALLE D'AOSTA"
"1043","Data Science","Valle D'Aosta",0,"VALLE D'AOSTA"
"1044","Deep Learning","Valle D'Aosta",0,"VALLE D'AOSTA"
"1045","Digital Humanities","Valle D'Aosta",0,"VALLE D'AOSTA"
"1046","Digital Marketing","Valle D'Aosta",0,"VALLE D'AOSTA"
"1047","Digital Transformation","Valle D'Aosta",0,"VALLE D'AOSTA"
"1048","Diritto Della Proprietà Intellettuale","Valle D'Aosta",0,"VALLE D'AOSTA"
"1049","Economia Circolare","Valle D'Aosta",0,"VALLE D'AOSTA"
"1050","Ethics","Valle D'Aosta",0,"VALLE D'AOSTA"
"1051","Fake News","Valle D'Aosta",0,"VALLE D'AOSTA"
"1052","Flipped Classroom","Valle D'Aosta",0,"VALLE D'AOSTA"
"1053","Genealogia","Valle D'Aosta",0,"VALLE D'AOSTA"
"1054","Giustizia Riparativa","Valle D'Aosta",0,"VALLE D'AOSTA"
"1055","Giustizia Sociale","Valle D'Aosta",0,"VALLE D'AOSTA"
"1056","Green","Valle D'Aosta",0,"VALLE D'AOSTA"
"1057","Green Economy","Valle D'Aosta",1,"VALLE D'AOSTA"
"1058","Industrial Engineering","Valle D'Aosta",0,"VALLE D'AOSTA"
"1059","Internet Delle Cose","Valle D'Aosta",0,"VALLE D'AOSTA"
"1060","Internet Of Things","Valle D'Aosta",0,"VALLE D'AOSTA"
"1061","Machine Learning","Valle D'Aosta",0,"VALLE D'AOSTA"
"1062","Malattie Rare","Valle D'Aosta",0,"VALLE D'AOSTA"
"1063","Marketing Digitale","Valle D'Aosta",0,"VALLE D'AOSTA"
"1064","Mobilità Elettrica","Valle D'Aosta",0,"VALLE D'AOSTA"
"1065","Motori Elettrici","Valle D'Aosta",0,"VALLE D'AOSTA"
"1066","Nutraceutica","Valle D'Aosta",0,"VALLE D'AOSTA"
"1067","Obiettivi Di Sviluppo Sostenibile","Valle D'Aosta",0,"VALLE D'AOSTA"
"1068","Posture","Valle D'Aosta",0,"VALLE D'AOSTA"
"1069","Priority","Valle D'Aosta",0,"VALLE D'AOSTA"
"1070","Python","Valle D'Aosta",0,"VALLE D'AOSTA"
"1071","Rilevamento Topografico","Valle D'Aosta",0,"VALLE D'AOSTA"
"1072","Scalabilità","Valle D'Aosta",0,"VALLE D'AOSTA"
"1073","Scienze Delle Produzioni","Valle D'Aosta",0,"VALLE D'AOSTA"
"1074","Scienze Gastronomiche","Valle D'Aosta",0,"VALLE D'AOSTA"
"1075","Service Design","Valle D'Aosta",0,"VALLE D'AOSTA"
"1076","Servizi E Applicazioni","Valle D'Aosta",0,"VALLE D'AOSTA"
"1077","Soft Skills","Valle D'Aosta",0,"VALLE D'AOSTA"
"1078","Sustainability","Valle D'Aosta",0,"VALLE D'AOSTA"
"1079","Sustainable Development Goals","Valle D'Aosta",0,"VALLE D'AOSTA"
"1080","Tecnologie Ingegneristiche","Valle D'Aosta",0,"VALLE D'AOSTA"
"1081","Text Mining","Valle D'Aosta",0,"VALLE D'AOSTA"
"1082","Things","Valle D'Aosta",0,"VALLE D'AOSTA"
"1083","Trasformazione Digitale","Valle D'Aosta",0,"VALLE D'AOSTA"
"1084","Agricoltura Di Precisione","Veneto",0,"VENETO"
"1085","Analisi Delle Serie Storiche","Veneto",1,"VENETO"
"1086","Analytics","Veneto",0,"VENETO"
"1087","Artificial Intelligence","Veneto",1,"VENETO"
"1088","Big Data","Veneto",2,"VENETO"
"1089","Bioeconomia","Veneto",0,"VENETO"
"1090","Blockchain","Veneto",0,"VENETO"
"1091","Building Information Modeling","Veneto",0,"VENETO"
"1092","Business Analytics","Veneto",0,"VENETO"
"1093","Clinical Practice","Veneto",0,"VENETO"
"1094","Cloud","Veneto",1,"VENETO"
"1095","Cloud Computing","Veneto",0,"VENETO"
"1096","Competenze Digitali","Veneto",0,"VENETO"
"1097","Cybersecurity","Veneto",0,"VENETO"
"1098","Data Analytics","Veneto",1,"VENETO"
"1099","Data Management","Veneto",0,"VENETO"
"1100","Data Science","Veneto",2,"VENETO"
"1101","Deep Learning","Veneto",1,"VENETO"
"1102","Digital Humanities","Veneto",2,"VENETO"
"1103","Digital Marketing","Veneto",0,"VENETO"
"1104","Digital Transformation","Veneto",0,"VENETO"
"1105","Diritto Della Proprietà Intellettuale","Veneto",1,"VENETO"
"1106","Economia Circolare","Veneto",2,"VENETO"
"1107","Ethics","Veneto",0,"VENETO"
"1108","Fake News","Veneto",1,"VENETO"
"1109","Flipped Classroom","Veneto",2,"VENETO"
"1110","Genealogia","Veneto",2,"VENETO"
"1111","Giustizia Riparativa","Veneto",0,"VENETO"
"1112","Giustizia Sociale","Veneto",0,"VENETO"
"1113","Green","Veneto",3,"VENETO"
"1114","Green Economy","Veneto",0,"VENETO"
"1115","Industrial Engineering","Veneto",0,"VENETO"
"1116","Internet Delle Cose","Veneto",0,"VENETO"
"1117","Internet Of Things","Veneto",0,"VENETO"
"1118","Machine Learning","Veneto",2,"VENETO"
"1119","Malattie Rare","Veneto",0,"VENETO"
"1120","Marketing Digitale","Veneto",1,"VENETO"
"1121","Mobilità Elettrica","Veneto",0,"VENETO"
"1122","Motori Elettrici","Veneto",0,"VENETO"
"1123","Nutraceutica","Veneto",0,"VENETO"
"1124","Obiettivi Di Sviluppo Sostenibile","Veneto",0,"VENETO"
"1125","Posture","Veneto",0,"VENETO"
"1126","Priority","Veneto",0,"VENETO"
"1127","Python","Veneto",0,"VENETO"
"1128","Rilevamento Topografico","Veneto",0,"VENETO"
"1129","Scalabilità","Veneto",0,"VENETO"
"1130","Scienze Delle Produzioni","Veneto",0,"VENETO"
"1131","Scienze Gastronomiche","Veneto",0,"VENETO"
"1132","Service Design","Veneto",0,"VENETO"
"1133","Servizi E Applicazioni","Veneto",0,"VENETO"
"1134","Soft Skills","Veneto",3,"VENETO"
"1135","Sustainability","Veneto",0,"VENETO"
"1136","Sustainable Development Goals","Veneto",1,"VENETO"
"1137","Tecnologie Ingegneristiche","Veneto",0,"VENETO"
"1138","Text Mining","Veneto",0,"VENETO"
"1139","Things","Veneto",0,"VENETO"
"1140","Trasformazione Digitale","Veneto",1,"VENETO"
