"","Topic","regione","n","region"
"234","Bioeconomia","Emilia-Romagna",2,"EMILIA-ROMAGNA"
"235","Blockchain","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"236","Building Information Modeling","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"237","Business Analytics","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"238","Clinical Practice","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"239","Cloud","Emilia-Romagna",3,"EMILIA-ROMAGNA"
"240","Cloud Computing","Emilia-Romagna",3,"EMILIA-ROMAGNA"
"241","Competenze Digitali","Emilia-Romagna",2,"EMILIA-ROMAGNA"
"242","Cybersecurity","Emilia-Romagna",2,"EMILIA-ROMAGNA"
"243","Data Analytics","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"244","Data Management","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"245","Data Science","Emilia-Romagna",6,"EMILIA-ROMAGNA"
"246","Deep Learning","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"247","Digital Humanities","Emilia-Romagna",3,"EMILIA-ROMAGNA"
"248","Digital Marketing","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"249","Digital Transformation","Emilia-Romagna",2,"EMILIA-ROMAGNA"
"250","Diritto Della Proprietà Intellettuale","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"251","Economia Circolare","Emilia-Romagna",8,"EMILIA-ROMAGNA"
"252","Ethics","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"253","Fake News","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"254","Flipped Classroom","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"255","Genealogia","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"256","Giustizia Riparativa","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"257","Giustizia Sociale","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"258","Green","Emilia-Romagna",4,"EMILIA-ROMAGNA"
"259","Green Economy","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"260","Industrial Engineering","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"261","Internet Delle Cose","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"262","Internet Of Things","Emilia-Romagna",2,"EMILIA-ROMAGNA"
"263","Machine Learning","Emilia-Romagna",5,"EMILIA-ROMAGNA"
"264","Malattie Rare","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"265","Marketing Digitale","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"266","Mobilità Elettrica","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"267","Motori Elettrici","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"268","Nutraceutica","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"269","Obiettivi Di Sviluppo Sostenibile","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"270","Posture","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"271","Priority","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"272","Python","Emilia-Romagna",2,"EMILIA-ROMAGNA"
"273","Rilevamento Topografico","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"274","Scalabilità","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"275","Scienze Delle Produzioni","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"276","Scienze Gastronomiche","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"277","Service Design","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"278","Servizi E Applicazioni","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"279","Soft Skills","Emilia-Romagna",7,"EMILIA-ROMAGNA"
"280","Sustainability","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"281","Sustainable Development Goals","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"282","Tecnologie Ingegneristiche","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"283","Text Mining","Emilia-Romagna",1,"EMILIA-ROMAGNA"
"284","Things","Emilia-Romagna",0,"EMILIA-ROMAGNA"
"285","Trasformazione Digitale","Emilia-Romagna",5,"EMILIA-ROMAGNA"
"286","Agricoltura Di Precisione","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"287","Analisi Delle Serie Storiche","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"288","Analytics","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"289","Artificial Intelligence","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"290","Big Data","Friuli-Venezia Giulia",3,"FRIULI-VENEZIA GIULIA"
"291","Bioeconomia","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"292","Blockchain","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"293","Building Information Modeling","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"294","Business Analytics","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"295","Clinical Practice","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"296","Cloud","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"297","Cloud Computing","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"298","Competenze Digitali","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"299","Cybersecurity","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"300","Data Analytics","Friuli-Venezia Giulia",2,"FRIULI-VENEZIA GIULIA"
"301","Data Management","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"302","Data Science","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"303","Deep Learning","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"304","Digital Humanities","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"305","Digital Marketing","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"306","Digital Transformation","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"307","Diritto Della Proprietà Intellettuale","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"308","Economia Circolare","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"309","Ethics","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"310","Fake News","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"311","Flipped Classroom","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"312","Genealogia","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"313","Giustizia Riparativa","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"314","Giustizia Sociale","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"315","Green","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"316","Green Economy","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"317","Industrial Engineering","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"318","Internet Delle Cose","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"319","Internet Of Things","Friuli-Venezia Giulia",3,"FRIULI-VENEZIA GIULIA"
"320","Machine Learning","Friuli-Venezia Giulia",4,"FRIULI-VENEZIA GIULIA"
"321","Malattie Rare","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"322","Marketing Digitale","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"323","Mobilità Elettrica","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"324","Motori Elettrici","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"325","Nutraceutica","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"326","Obiettivi Di Sviluppo Sostenibile","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"327","Posture","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"328","Priority","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"329","Python","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"330","Rilevamento Topografico","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"331","Scalabilità","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"332","Scienze Delle Produzioni","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"333","Scienze Gastronomiche","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"334","Service Design","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"335","Servizi E Applicazioni","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"336","Soft Skills","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"337","Sustainability","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"338","Sustainable Development Goals","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"339","Tecnologie Ingegneristiche","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"340","Text Mining","Friuli-Venezia Giulia",0,"FRIULI-VENEZIA GIULIA"
"341","Things","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"342","Trasformazione Digitale","Friuli-Venezia Giulia",1,"FRIULI-VENEZIA GIULIA"
"343","Agricoltura Di Precisione","Lazio",1,"LAZIO"
"344","Analisi Delle Serie Storiche","Lazio",0,"LAZIO"
"345","Analytics","Lazio",1,"LAZIO"
"346","Artificial Intelligence","Lazio",1,"LAZIO"
"347","Big Data","Lazio",12,"LAZIO"
"348","Bioeconomia","Lazio",0,"LAZIO"
"349","Blockchain","Lazio",2,"LAZIO"
"350","Building Information Modeling","Lazio",0,"LAZIO"
"351","Business Analytics","Lazio",0,"LAZIO"
"352","Clinical Practice","Lazio",0,"LAZIO"
"353","Cloud","Lazio",0,"LAZIO"
"354","Cloud Computing","Lazio",2,"LAZIO"
"355","Competenze Digitali","Lazio",5,"LAZIO"
"356","Cybersecurity","Lazio",4,"LAZIO"
"357","Data Analytics","Lazio",1,"LAZIO"
"358","Data Management","Lazio",1,"LAZIO"
"359","Data Science","Lazio",6,"LAZIO"
"360","Deep Learning","Lazio",0,"LAZIO"
"361","Digital Humanities","Lazio",0,"LAZIO"
"362","Digital Marketing","Lazio",1,"LAZIO"
"363","Digital Transformation","Lazio",1,"LAZIO"
"364","Diritto Della Proprietà Intellettuale","Lazio",1,"LAZIO"
"365","Economia Circolare","Lazio",7,"LAZIO"
